English,Translate,Phrase
apple,яблоко,1234567891123456789212345678931234567894123456789
cat,кот, cat sits
sun,солнце, sun brightly sunshine
cut off,отрезать,The army was cut off from its supplies
apple,яблоко,1234567891123456789212345678931234567894123456789
cat,кот, cat sits
sun,солнце, sun brightly sunshine
cut off,отрезать,The army was cut off from its supplies
apple,яблоко,1234567891123456789212345678931234567894123456789
cat,кот, cat sits
sun,солнце, sun brightly sunshine
cut off,отрезать,The army was cut off from its supplies
apple,яблоко,1234567891123456789212345678931234567894123456789
cat,кот, cat sits
sun,солнце, sun brightly sunshine
cut off,отрезать,The army was cut off from its supplies
