Word,Translate,Phrase
freezer,морозильная камера,freezer
tap,кран,tap
sink,раковина,sink
cupboard,шкаф,cupboard
shelf,полка,shelf
dishwasher,посудомойка,dishwasher
tea towel,кухонное полотенце,tea towel
saucepan,кастрюля,saucepan
teapot,чайник,teapot
plate,тарелка,plate
bowl,миска,bowl
fork,вилка,fork
mug,кружка,mug
dressing table,туалетный столик,dressing table
chest of drawers,комод,chest of drawers
wardrobe,гардероб,wardrobe
comb,расческа,comb
hairbrush,расческа,hairbrush
razor,бритва,razor
basin,раковина,basin
curtains,шторы,curtains
socket,розетка,socket
rug,коврик,rug
1,1,1
