Word,Translate
apple,яблоко
gullible,доверчивый
intimidated,боящийся
recognize,узнавать
exposed,открытый
violate,нарушать
bother,беспокоить
pregnant,беременная
revolting,тошнотворный
aware,осведомленный
attire,наряд
accuse,обвинять
breach,нарушение
deserve,заслуживать
pursue,придерживаться плана
bother ,беспокоить 
favour,услуга
appointment,встреча
prediction,предсказание
polite,вежливый
conversation,разговор
spy,шпион
bat,летучая мышь
smack,шлепать
opportunity,возможность
netizen,пользователь интернета
diverse,разнообразный
contest,соревнование
inspiration,вдохновение
lawn,лужайка
drawback,недостаток
